,Overlap
1011,0.25
1012,0.25
1013,0.25
1014,0.25
1015,0.25
1016,0.25
1017,0.5
1018,0.5
1019,0.5
1020,0.5
1021,0.5
1022,0.5
1023,0.5
1024,0.5
1025,0.5
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.25
1036,0.25
1037,0.25
1038,0.25
1039,0.25
1040,0.25
1041,0.25
1042,0.25
1043,0.25
1044,0.5
1045,0.5
1046,0.5
1047,0.5
1048,0.5
1049,0.5
1050,0.5
1051,0.5
1052,0.5
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.25
1063,0.25
1064,0.25
1065,0.25
1066,0.25
1067,0.25
1068,0.25
1069,0.25
1070,0.25
1071,0.5
1072,0.5
1073,0.5
1074,0.5
1075,0.5
1076,0.5
1077,0.5
1078,0.5
1079,0.5
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.25
1090,0.25
1091,0.25
1092,0.25
1093,0.25
1094,0.25
1095,0.25
1096,0.25
1097,0.25
1098,0.5
1099,0.5
1100,0.5
1101,0.5
1102,0.5
1103,0.5
1104,0.5
1105,0.5
1106,0.5
1107,0.0
1108,0.0
1109,0.0
1110,0.0
1111,0.0
1112,0.0
1113,0.0
1114,0.0
1115,0.0
1116,0.25
1117,0.25
1118,0.25
1119,0.25
1120,0.25
1121,0.25
1122,0.25
1123,0.25
1124,0.25
1125,0.5
1126,0.5
1127,0.5
1128,0.5
1129,0.5
1130,0.5
1131,0.5
1132,0.5
1133,0.5
1134,0.0
1135,0.0
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,0.25
1144,0.25
1145,0.25
1146,0.25
1147,0.25
1148,0.25
1149,0.25
1150,0.25
1151,0.25
1152,0.5
1153,0.5
1154,0.5
1155,0.5
1156,0.5
1157,0.5
1158,0.5
1159,0.5
1160,0.5
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.25
1171,0.25
1172,0.25
1173,0.25
1174,0.25
1175,0.25
1176,0.25
1177,0.25
1178,0.25
1179,0.5
1180,0.5
1181,0.5
1182,0.5
1183,0.5
1184,0.5
1185,0.5
1186,0.5
1187,0.5
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.25
1198,0.25
1199,0.25
1200,0.25
1201,0.25
1202,0.25
1203,0.25
1204,0.25
1205,0.25
1206,0.5
1207,0.5
1208,0.5
1209,0.5
1210,0.5
1211,0.5
1212,0.5
1213,0.5
1214,0.5
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.25
1225,0.25
1226,0.25
1227,0.25
1228,0.25
1229,0.25
1230,0.25
1231,0.25
1232,0.25
1233,0.5
1234,0.5
1235,0.5
1236,0.5
1237,0.5
1238,0.5
1239,0.5
1240,0.5
1241,0.5
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.25
1252,0.25
1253,0.25
1254,0.25
1255,0.25
1256,0.25
1257,0.25
1258,0.25
1259,0.25
1260,0.5
1261,0.5
1262,0.5
1263,0.5
1264,0.5
1265,0.5
1266,0.5
1267,0.5
1268,0.5
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.25
1279,0.25
1280,0.25
1281,0.25
1282,0.25
1283,0.25
1284,0.25
1285,0.25
1286,0.25
1287,0.5
1288,0.5
1289,0.5
1290,0.5
1291,0.5
1292,0.5
1293,0.5
1294,0.5
1295,0.5
